Date,NPK,PK,NK,CK,MT,SF,OF,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed ​​(knots),Maximum Sustained Wind Speed ​​(knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
2022-09-09,7.0312,1.7771199999999998,7.433280000000001,1.49736,8.618,8.23794,7.102224,76.4,85.5,6.7,4.0,9.7,0.0,94.6,74.5,0.0
2022-09-21,5.4188,1.2726,5.4894,1.4742,6.08656,4.1328,3.3567519999999997,74.8,84.6,6.7,4.9,7.8,0.0,93.4,74.1,0.0
2022-09-28,2.583,1.7160000000000002,2.48748,1.26,2.7117000000000004,2.1444799999999997,1.7401218,74.4,87.0,6.7,5.3,9.7,0.0,96.8,73.9,0.0
2022-10-10,7.694400000000001,1.41192,5.48244,1.4766,5.733,3.4271999999999996,3.7492139999999994,48.3,72.9,6.7,12.6,21.4,27.2,86.2,61.5,0.0
2022-10-25,5.5152,1.5536400000000001,5.2451,1.0657200000000002,4.767,4.15998,3.6649844000000003,64.7,77.9,6.7,5.4,9.7,0.0,88.7,63.3,0.0
2022-11-01,3.9,1.33488,4.20768,1.5594000000000003,3.4105000000000003,2.7808,3.16316,56.1,76.1,6.7,15.4,23.3,33.0,82.4,67.5,0.01
2023-04-07,6.597780000000002,1.1612412,3.4271244000000003,1.6737912000000001,4.6433636,3.7376063999999998,3.665444280000001,55.8,70.3,6.7,9.1,15.5,0.0,83.5,60.8,0.0
2023-04-17,9.603387999999999,1.3941939,8.640954,1.3377,7.27632,8.865780000000003,6.5590812000000005,72.9,82.8,6.2,7.9,13.6,0.0,91.4,66.7,0.0
2023-04-26,6.24592,1.18014,7.182,0.985872,6.415720000000001,4.9640135999999995,3.29167872,59.3,70.1,6.7,5.4,13.6,0.0,78.8,57.4,0.0
2023-05-04,4.1513408,1.203576,3.768688000000001,1.6279199999999998,3.3175396800000003,3.5501059200000005,3.6921101568000005,75.3,83.9,6.7,8.1,13.6,19.4,93.2,76.1,0.0
2023-05-11,6.670400000000001,1.22553,7.3872,0.99636,6.672348800000002,5.509509599999999,3.13032192,68.7,69.8,4.7,4.0,7.8,0.0,79.2,68.0,0.33
2023-05-18,4.4604832,1.306008,3.729017600000001,1.6793279999999997,3.1123310400000004,3.0856060800000007,3.623098752,78.5,84.5,5.3,4.7,21.4,0.0,95.9,74.8,1.54
2023-06-07,3.42828,1.4832720000000001,3.5360832000000006,1.3297536,2.9408448,3.815130800000001,3.3173212800000003,79.9,81.7,6.4,5.1,9.7,0.0,91.4,76.6,1.68
2023-06-25,2.424723,1.4450687999999998,2.03148,1.0867776000000002,2.1102060000000002,1.56996,2.36779872,78.0,82.5,6.6,6.0,15.5,23.3,91.4,74.1,0.13
2023-08-16,8.363824128000001,1.25908992,9.201012,1.3516668,6.16426392,6.186048,7.843288320000001,79.6,88.6,6.7,4.1,7.8,0.0,95.0,78.3,0.0
2023-08-24,4.3721568,1.203576,3.768688000000001,1.6279199999999998,3.4201440000000005,3.4505702400000007,3.5540873472000003,79.2,83.4,6.5,4.7,9.7,0.0,89.6,78.1,0.54
2023-08-31,3.733016,1.319976,3.6881728000000003,1.2475008,2.7876758,3.3472374000000005,3.1445441300000003,73.1,84.0,6.7,10.8,19.4,0.0,91.4,76.1,0.0
2023-09-07,2.3070180000000002,1.5777792,2.19564,1.1104032000000001,1.9494284000000002,1.5251039999999998,2.36779872,78.0,78.5,4.0,5.8,9.7,0.0,85.3,75.2,6.79
2023-09-17,8.512476,1.4632134,11.125512,1.3923,7.66752,9.56802,8.47016352,77.8,85.3,6.7,4.0,7.8,0.0,95.0,75.0,0.0
2023-09-22,4.961037999999999,1.2976200000000002,4.890132,1.4349960000000002,4.429971,4.669968,4.7935376,78.2,86.3,5.6,4.5,7.8,0.0,93.2,80.6,99.99
2023-09-27,3.8472920000000004,1.456056,3.9923520000000003,1.37088,2.9408448,3.5631882000000004,3.3173212800000003,77.5,87.6,6.7,3.6,7.8,0.0,96.8,76.5,0.14
2023-10-08,5.0317008,1.4496768,3.669792,1.4563128,4.566332,3.02544,3.9136797700000003,64.8,73.9,6.7,14.6,17.5,27.2,78.8,67.1,0.06
