Date,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
4/27/19,67.8,71.1,5,5,13.6,999.9,73.4,69.8,1.93
4/28/19,70.9,77.5,5.3,3.4,5.8,999.9,82.4,69.6,0
4/29/19,72.9,80.1,5.7,4.3,9.7,999.9,86,74.3,0
4/30/19,66.7,73.6,5.7,7.3,13.6,23.3,80.6,66.2,1
5/1/19,60.4,72.5,6.7,6.5,13.6,999.9,77,67.1,0
5/2/19,62.9,68.3,5.8,4.4,7.8,999.9,71.6,65.3,0.45
5/3/19,62.7,73.3,5.9,3.9,7.8,999.9,78.8,65.3,0
5/4/19,63.9,68.1,3.3,2.8,7.8,999.9,73.9,63.7,0.76
5/5/19,64.4,67.5,5,3.2,7.8,999.9,68.2,63.1,0.37
5/6/19,64.6,68.5,5.4,4.2,7.8,999.9,71.6,66.2,0.09
5/7/19,63.6,69.6,6,4.1,7.8,999.9,73.4,65.8,0.35
5/8/19,64.7,68.2,5.2,3.2,5.8,999.9,69.8,65.8,0.44
5/9/19,66,76,6.5,4,9.7,999.9,80.6,66.7,0.44
5/10/19,67.8,78.8,5.3,3.1,9.7,999.9,86,71.1,0
5/11/19,69.6,81.6,3,3.2,5.8,13.6,89.6,70.9,0
5/12/19,68.2,82.9,5.9,4,7.8,999.9,89.6,70.3,0
5/13/19,71.1,83.6,6.3,4.6,9.7,999.9,89.6,72.5,0
5/14/19,73.2,83.6,6.1,4.1,9.7,999.9,89.6,77.5,0
5/15/19,75.8,85.1,6.1,5.8,11.7,25.3,91.4,78.3,0.3
5/16/19,76.9,86.6,5.9,4.9,9.7,999.9,95,79.5,0.07
5/17/19,77.4,85.1,6,4.5,11.7,999.9,95,78.8,0.64
5/18/19,78,88.2,6.1,5.7,9.7,999.9,95,78.6,0.02
5/19/19,77.5,88,6.2,6.7,15.5,999.9,96.8,73.4,0.02
5/20/19,70.3,80.7,6.4,7.5,15.5,999.9,88.2,74.7,0.07
5/21/19,70.7,78.7,4.5,3.9,5.8,999.9,82.4,74.5,0.01
5/22/19,72.2,79,3.4,3.2,9.7,999.9,83.1,74.3,0.71
5/23/19,73.3,77.8,4.7,4.7,7.8,999.9,80.6,75,3
5/24/19,72.9,79.9,4.8,4.9,7.8,999.9,86,73.9,0.01
5/25/19,74.3,80.8,5.9,4.4,9.7,999.9,84.2,75.2,1.17
5/26/19,75.3,82.5,6.2,5.3,11.7,999.9,87.8,75.4,1.2
5/27/19,75.5,81,6.4,4,7.8,999.9,86,75.7,0.35
5/28/19,74.8,80.4,5.5,4.2,7.8,15.5,84.2,75.2,2.83
5/29/19,72.2,77.3,6,5.4,7.8,999.9,80.6,74.1,0.34
5/30/19,72.9,77.5,4.6,3.8,5.8,999.9,80.6,73.6,0.35
5/31/19,75,80.1,4.4,2.5,3.9,999.9,86,74.7,0.24
6/1/19,75.4,79.1,4.2,3,13.6,999.9,87.8,75.2,0.81
6/2/19,76,81,5.1,4.6,11.7,999.9,86,76.5,0.19
6/3/19,75.5,82.9,5.2,4.7,7.8,999.9,91.4,77.4,0.01
6/4/19,74.4,80.5,5.5,4.5,25.3,999.9,91.4,73.4,1.63
6/5/19,76.9,80.5,5,3.9,15.5,999.9,89.6,74.1,0.47
6/6/19,76.8,83.2,6,4.8,13.6,999.9,91.4,75.7,2.56
6/7/19,75.7,86.5,6.4,5.7,11.7,999.9,93.2,75.7,99.99
6/8/19,75.8,86.5,6.4,5.7,15.5,19.4,95,77,0.04
6/9/19,75.7,88.1,6.6,8.1,13.6,999.9,93.2,77,0
6/10/19,75.9,80.5,5.3,4.6,17.5,25.3,91.4,75,2.66
6/11/19,75.2,79.3,4.8,3.2,15.5,999.9,84.2,74.5,1.17
6/12/19,76.2,80.3,3.6,4,13.6,27.2,87.8,74.1,0.26
6/13/19,75,82.6,5.2,5.8,11.7,17.5,91.4,75.4,0.25
6/14/19,67.8,82.9,6.7,5.1,9.7,15.5,89.6,70.7,0
6/15/19,68.5,84.6,6.6,4.5,9.7,999.9,92.3,70.5,0
6/16/19,70.9,84.6,6.3,4.9,7.8,999.9,91.4,73.9,99.99
6/17/19,74.9,85.2,6.5,5.5,9.7,999.9,91.4,73.8,0.01
6/18/19,77.4,82.6,5.9,3.6,7.8,999.9,86,77.7,0.48
6/19/19,77.7,86.8,6.1,4.7,11.7,999.9,93.2,78.6,0.2
6/20/19,76.4,88.2,6.3,7,17.5,29.1,93.2,78.6,0
6/21/19,76.6,89.9,6.6,8.1,11.7,999.9,96.8,82.6,0
6/22/19,76.8,90.3,6.5,9.4,13.6,999.9,96.8,83.5,0
6/23/19,75.8,84.2,6.1,4.9,19.4,999.9,95,77.4,0.07
6/24/19,74.5,77.1,3.4,4,7.8,17.5,78.8,74.3,6.8
6/25/19,76.3,83.4,3.7,3.1,5.8,999.9,87.8,74.1,0.08
6/26/19,77.4,83.1,4.4,3.1,7.8,999.9,89.6,77,0.33
6/27/19,78.4,88.1,6.1,4.7,9.7,999.9,95,79.5,0.03
6/28/19,78.7,89.4,6.3,4.9,11.7,999.9,96.8,80.6,99.99
6/29/19,78.7,89.5,6.5,3.5,7.8,999.9,96.8,81.1,0
6/30/19,78,86.5,6.2,4.3,11.7,999.9,96.8,79.5,0.03
7/1/19,76.7,89.6,6.3,5.2,9.7,999.9,96.8,79.3,0
7/2/19,77.2,83.5,6.3,6.2,19.4,999.9,93.2,77.9,0.05
7/3/19,77,82.5,5.9,6.7,19.4,29.1,89.6,77.7,0.65
7/4/19,77.1,85.6,6.3,6.2,11.7,999.9,91.4,77.5,1.23
7/5/19,75.7,87.4,6.3,6.6,9.7,19.4,93.2,79.5,0.03
7/6/19,76.8,88.8,6.5,7.2,11.7,17.5,95,81.5,0
7/7/19,77.3,85.6,6.3,6,11.7,21.4,93.2,78.8,0.03
7/8/19,76.1,87.8,6.2,8.2,11.7,999.9,93.2,78.8,0
