Date,Dew Point Temperature (F),Average Temperature (F),Visibility (mi),Average Wind Speed (knots),Maximum Sustained Wind Speed (knots),Maximum Gust (knots),Maximum Temperature (F),Minimum Temperature (F),Precipitation (in)
12/11/19,39.6,64,6.2,3.2,9.3,14.6,77.9,45.7,0
12/12/19,43.1,64.6,5.3,2.8,5.8,10.7,77.9,47.5,0
12/13/19,51.4,67,4.8,2.2,3.9,13.6,77,49.5,0
12/14/19,54.3,67.6,3.7,2.5,3.9,999.9,78.8,53.2,0
12/15/19,57.6,70,3.4,2.8,7.8,999.9,78.1,53.4,0
12/16/19,61,73.3,4.9,2.9,7.8,11.3,78.8,55.4,0
12/17/19,63.6,74.2,4.1,2.6,5.8,999.9,80.6,60.8,0
12/18/19,58.4,72.7,3.8,6.3,13.6,999.9,85.1,59,0.21
12/19/19,46.9,58.7,5,8.6,15.5,21.4,85.1,55.2,0.17
12/20/19,45.8,58.8,6.7,6,10.5,19.2,66.6,53.4,0
12/21/19,50.3,63.4,6.5,4,7.8,13,69.8,53.4,0
12/22/19,50.8,62.8,5.5,5.1,9.7,12.6,71.6,55.4,0
12/23/19,58.4,69.4,4,3.3,7.8,13,75.2,57.4,0
12/24/19,56.7,63.7,4.5,4.8,9.7,12.4,74.1,57.2,0
12/25/19,58.3,66.7,2.6,2.8,5.8,13.6,75.2,56.7,0
12/26/19,48.3,61.5,5.2,11.5,17.5,29.5,75,52.2,0
12/27/19,38.8,59.6,6.7,6.8,11.7,19.8,72.5,46.8,0
12/28/19,42.1,62.2,5,2.9,6,11.1,72,46.8,0
12/29/19,50.8,69,4.9,2.7,3.9,999.9,77,50.4,0
12/30/19,54.5,74.3,5.1,5.7,11.7,999.9,82.4,58.8,0
12/31/19,48.3,66.7,5.9,8.4,17.5,19,80.1,56.3,0
1/1/20,51.7,63,4.4,3.9,7.8,13,73.9,55,0
1/2/20,54.8,63.9,3.7,2.7,5.8,999.9,71.6,53.1,0
1/3/20,55.9,67.3,3.7,2.5,4.1,999.9,77,52.5,0
1/4/20,56.2,69.1,2.5,1.9,3.9,999.9,79.3,53.6,0
1/5/20,58.8,70.3,3.2,2.5,5.8,11.1,79.3,56.1,0
1/6/20,61.2,72.5,5.5,3,7.8,19.4,77.4,61,0
1/7/20,60.2,71.7,4.7,3.3,11.7,15.5,81.3,62.2,0
1/8/20,50.1,69.4,6.5,4.2,11.3,22.1,81.3,56.7,0
1/9/20,55.3,68.8,5.4,4.3,7.8,10.7,81,56.7,0
1/10/20,59.5,70.6,4.4,3.6,7.8,12,78.3,59.4,0
1/11/20,47.6,58.1,5.5,9.7,19.4,25.3,78.3,50,0
1/12/20,39.5,57.4,6.7,7.5,13.6,23.3,73.2,49.3,0.01
1/13/20,45.4,60,5.8,3.3,7.8,12,67.6,49.5,0.01
1/14/20,48,61.7,5.9,4.8,9.7,11.8,70.3,51.3,0
1/15/20,56,68,5.2,5.3,9.7,18.8,75.4,53.1,0
1/16/20,50.2,61.2,5.5,8.4,17.5,26,76.6,49.8,0.13
1/17/20,40.4,55.6,6.7,8.5,13.6,26,76.6,49.8,0.12
1/18/20,41.8,57.2,6.7,5.5,11.7,18.3,64.9,50.9,0
1/19/20,43,53.7,5.9,5.4,9.7,18.3,64.9,50.9,0
1/20/20,47.2,60.2,6.5,2.5,5.8,13,66.4,51.1,0
1/21/20,54.7,65.2,5,4.1,7.8,10.9,71.8,53.1,0
1/22/20,59.7,69.8,4.2,2.1,5.8,15.5,78.1,57,0
1/23/20,61.4,73.4,5.1,4,7.8,12.6,82.4,61.5,0
1/24/20,61.5,70.6,5.4,4.3,13.6,999.9,82.2,60.8,0
1/25/20,51.6,56.9,5.8,8.9,13.6,22.3,78.8,50,0.22
1/26/20,42.2,50.4,5.9,10.4,15.5,27,69.6,48.2,0.52
1/27/20,35.8,49.7,6.7,11.7,17.5,22.9,57,45,0
1/28/20,34.2,51.8,6.7,9.9,15.5,21.6,59.7,44.6,0
1/29/20,32.1,54,6.7,8.6,15.5,21.2,62.6,40.1,0
1/30/20,28.1,54.6,6.3,6.6,15.5,21.4,66.2,38.5,0
1/31/20,29.4,56.2,6.5,2.7,8,14.2,68,38.3,0
2/1/20,40.2,60,5.8,3.7,6.4,12,68.7,41.2,0
2/2/20,47.5,61.6,5,3.4,5.8,999.9,68.7,43.3,0
2/3/20,51.8,56.4,4.7,5.4,9.7,18.6,64.8,52.9,0.5
2/4/20,51.8,56.9,6.4,3.9,9.7,12.8,61.9,52.9,0.36
2/5/20,53.3,60.1,6.2,3.7,7.8,13.8,63.9,53.4,0.04
2/6/20,55.3,61.9,5.4,2.7,5.8,13.8,66.2,55.4,0
2/7/20,52.5,61,5.8,6.9,11.7,15,66.2,55.4,0.02
2/8/20,46.2,59.6,6.7,8.2,13.6,14.4,68,53.2,0
2/9/20,44.2,57.7,6.7,5.9,11.7,17.3,66.6,53.1,0
2/10/20,47.8,59.2,6.1,2.4,3.9,11.7,63.9,53.6,0
2/11/20,55.4,60.9,3.3,2.4,5.8,999.9,65.5,54.7,0.09
2/12/20,61.2,64.8,2.1,2.2,7.8,999.9,71.6,58.3,0.01
2/13/20,62.2,67.7,4.7,3.8,6.4,15.5,75.2,59.7,0.45
2/14/20,65.8,69.3,3.7,3.7,9.7,14.2,73.4,63.7,1.01
2/15/20,54.9,59.8,4.3,10.5,17.5,37.9,71.2,46.4,2.66
2/16/20,37.1,49,6.7,13.4,17.5,37.9,68.9,43.3,0.04
2/17/20,30.3,53.4,6.7,8.7,15.5,24.3,62.6,43.2,0
2/18/20,32.8,55.8,6.7,3.2,9.7,15,66.4,41.9,0
2/19/20,45.4,61.6,6.3,2.7,5.8,999.9,70.2,41.9,0
2/20/20,51.4,64.8,5.3,2.6,5.8,15.5,75.2,45,0
2/21/20,52.3,67.1,5,2.3,7.8,11.5,77.2,51.3,0
2/22/20,55.4,70.4,5.5,2.5,5.8,11.1,81.3,54,0
2/23/20,57.2,69.6,5.3,2.5,5.8,999.9,81.3,55.8,0
2/24/20,58.8,72,5.8,4.5,9.7,15.5,80.4,57,0
2/25/20,61.8,73.3,6.1,3.1,5.8,15.5,82.4,59.9,0
2/26/20,62.3,75.1,5.9,2.5,3.9,13.6,84.2,61.5,0
2/27/20,61.6,72.6,5.4,5.2,9.7,15.5,84.2,61.2,0
2/28/20,60.1,68.2,4.8,2.5,3.9,13.4,80.1,60.8,0
2/29/20,61.7,73.7,5.6,3.6,7.8,13.2,82.4,60.8,0
3/1/20,61.6,72.6,5.9,4.8,7.8,17.5,82,62.6,0
3/2/20,58.8,69.9,6.7,4.8,7.8,17.5,82,64.4,0
3/3/20,60.7,67.7,4.8,4,8.9,19,73.2,62.4,0.3
3/4/20,54.9,59.1,5.7,7,11.7,23.9,72.1,55.2,0.38
3/5/20,53.8,63.7,6.7,2.8,3.9,15.5,67.5,55,0
3/6/20,59.1,67.3,5.5,3.4,7.8,11.5,69.8,56.1,0
3/7/20,64.7,70.1,3.6,2.2,5.8,999.9,72.7,63.1,0.02
3/8/20,66.4,74.3,5.9,9.5,15.5,26.2,77,65.5,0
3/9/20,64.6,72.1,6,8.4,17.5,30.1,80.6,62.6,0.01
3/10/20,48.8,66.7,6.7,10.2,19.4,30.1,77,57.9,0.01
3/11/20,51.6,63.5,5.9,3.1,5.8,20.2,74.8,55.4,0
3/12/20,62,68.2,3.3,2.5,5.8,12.2,72.1,58.5,0
3/13/20,61.8,68.4,4.2,7.7,16.3,28.2,76.5,62.1,0.32
3/14/20,50.1,66.5,7.5,7.9,11.7,28.2,77.7,58.5,0.02
3/15/20,49.1,68.2,6.1,3.6,7.8,10.5,77.7,56.3,0
3/16/20,53.9,70.4,5.3,4.3,8.5,15.7,76.8,60.3,0
3/17/20,62.8,68,3.3,3.8,7.8,12.6,76.8,63.7,0
3/18/20,64,68.8,3.3,3.6,13.6,15.2,71.6,65.5,0.36
3/19/20,63.3,66.8,4.6,3,9.7,16.5,71.6,64.4,0.98
3/20/20,65.3,68.7,2.1,2.9,5.8,999.9,71.6,64.4,0.08
3/21/20,68.2,73,3.7,5.1,9.7,14.2,78.8,64.8,0.01
3/22/20,67.7,77.2,4.6,3.2,7.8,13.2,84.4,68,0
3/23/20,68.1,77.3,4.9,4.1,11.7,14,86,68,0
3/24/20,64.4,76.1,5.7,4.8,9.7,15,86,70,0
3/25/20,64.5,74.9,5.9,4.4,9.7,15,83.3,69.6,0.02
3/26/20,67.8,75.3,5.5,5.5,9.7,19.2,81.9,66.2,0.16
3/27/20,66,71,5.3,6.8,19.4,29.1,82.4,64.4,3.12
3/28/20,54.8,64.9,6.7,9.1,15,24.5,81.1,58.8,0.01
3/29/20,56.8,61.6,4.8,4.3,11.7,21.2,72.5,57.2,0.11
3/30/20,53.7,56.6,4.3,4.3,8.2,21.2,68.9,55.4,0.05
3/31/20,54,58.2,4.9,4.9,9.7,14.4,60.8,55.4,0.05
4/1/20,53.9,59.6,4.3,4.1,7.8,14.4,63,56.7,0.48
4/2/20,58,61.9,3.7,3.5,7.8,11.7,68,56.7,0.02
4/3/20,59.2,62,5,5,15.5,23.3,68,59.7,0.65
4/4/20,56.3,62.2,6.1,7,11.7,20.6,72.1,56.7,0.39
4/5/20,55.8,60.6,5.6,3.3,7.8,16.3,72.1,56.5,0.7
4/6/20,56.4,59.4,5,3.2,7.8,15.3,62.2,57.2,1.33
4/7/20,55.8,65.8,6.2,2.5,6.8,12.4,73,57.4,0
4/8/20,58.1,70.3,4.6,1.8,5.8,999.9,77.7,59.2,0
4/9/20,58.9,73.6,4.2,3.3,9.7,10.1,83.8,60.1,0
4/10/20,54.6,74.2,6.1,4.7,9.7,15.7,83.8,60.1,0
4/11/20,58.6,66.2,4.9,7.8,15.5,25.4,80.6,57.2,0.09
4/12/20,38.2,64.7,6.7,9.2,19.4,29.1,75.2,47.5,0.09
4/13/20,38.9,68.2,6.6,3.7,8.9,18.8,76.1,47.1,0
4/14/20,50,65.1,4.6,2.3,5.8,999.9,75.9,53.1,0
4/15/20,53.4,71.5,3.9,2.9,5.8,11.8,81.3,52.5,0
4/16/20,61.1,75.1,5,5.4,9.7,13.6,84.2,58.1,0
4/17/20,63.8,76.1,5.3,3,5.8,13.6,82.8,62.2,0
4/18/20,65.8,76.5,5.6,4.5,7.8,12,82.8,66.6,0
4/19/20,70.1,80.7,5.4,3.5,7.8,12.2,87.8,69.4,0
4/20/20,70.5,81.5,6.2,5.5,9.7,13.4,88.3,72.1,0
4/21/20,69.5,78.4,6.5,7.4,11.7,20.4,88.3,67.5,0.06
4/22/20,59.8,64.3,5.3,6.2,11.7,20.4,84.4,61.2,1.08
4/23/20,56.2,64.6,6.3,7.4,11.7,16.9,68,61.2,0.01
4/24/20,55.9,62.2,5.5,4.9,11.7,17.5,67.6,58.1,0.12
4/25/20,57.8,70.8,5.5,2.9,5.8,999.9,75.9,57.6,0.01
4/26/20,57.1,74.3,5.8,4.1,9.7,13.6,82.4,62.2,0
4/27/20,56.7,77.8,6.3,2.7,5.8,11.8,87.4,63.9,0
4/28/20,58.5,79.2,5.5,3.7,7.8,13.6,89.6,63.7,0
4/29/20,60.2,78.8,5.8,3.7,5.8,13,89.1,64.9,0
4/30/20,59.4,80.7,6.2,4.9,9.7,13.6,87.8,66.7,0
5/1/20,67.6,81.3,6.4,4.4,6.4,11.5,87.8,68.5,0
5/2/20,69.9,81.7,6.2,4.6,7.8,12.8,89.6,74.1,0
5/3/20,70.3,86.1,6.6,6.2,7.8,14.4,94.6,73.6,0
5/4/20,72.1,86.3,6.7,6.2,11.7,17.1,95,77,0
5/5/20,71.8,86.6,6.7,7.4,11.7,19.2,95,76.1,0
5/6/20,72.9,86.6,6.7,7.7,11.7,17.5,93.2,75.7,0
5/7/20,74.6,85.7,6.7,7.6,11.7,18.6,91.4,80.8,0
5/8/20,74.2,86.8,6.7,7.7,13.6,18.5,91.4,81.1,0
5/9/20,74.4,87.3,6.7,7.3,11.7,16.7,93.2,81.1,0
5/10/20,72.6,79.3,6.6,4.4,13.6,23.9,90.1,73.9,0.92
5/11/20,71.5,79.8,5.8,4.7,9.7,25.4,91.4,73.2,0.87
5/12/20,68.9,81.3,6.2,5,9.7,13.2,90.3,73,0
5/13/20,69.5,81.9,5.4,6.1,11.7,25.4,89.6,73.4,0.48
5/14/20,71.9,80.8,5.7,6.7,11.7,21.8,88.9,73.8,0.09
5/15/20,73.2,84,6,6.5,13,20.4,91.4,76.3,0.02
5/16/20,71.6,81,5.6,4.3,17.5,53.6,91.4,72.3,1.3
5/17/20,71.1,80.4,5,3.3,11.7,23.9,91.4,71.6,0.57
5/18/20,72,80.7,5.2,4.1,9.7,23.9,91.4,72.5,0
5/19/20,71.9,82.7,6.1,4.2,7.8,13.4,91.2,72.3,0.16
5/20/20,74.9,81.2,5.2,5.8,17.5,27.2,91.2,75.2,3.47
5/21/20,76.9,81.2,3.1,4.5,11.7,24.1,88.2,75.9,8.62
5/22/20,71.7,81,6.6,5.7,11.7,24.1,87.3,75.6,0.03
5/23/20,71.9,81.7,5.9,3.7,5.8,9.9,87.8,75,0.06
5/24/20,72.2,82.2,5.4,3.4,7.8,10.5,87.8,74.5,0.02
5/25/20,75.5,81.7,4.8,4.8,7.8,11.8,86,76.6,0.21
5/26/20,73.3,84.3,5.9,5.3,9.7,19.4,93,77,0.09
5/27/20,68.4,79.4,6.1,5.5,10.9,16.5,93,73.2,0.38
5/28/20,71.5,81.7,5.4,2.9,5.8,999.9,86.9,73.2,0.06
5/29/20,75.3,82.3,5.5,5.4,13.6,28.6,87.8,75.6,0.48
5/30/20,75.3,80.9,4.6,4.8,9.7,11.7,87.1,75.6,0.2
5/31/20,74.6,78.5,5,4.7,15.5,25.3,88.9,75.2,3.56
6/1/20,74,78.2,4.9,4.7,19.4,33,88.9,75.6,0.42
6/2/20,73.7,80.1,5.9,4.8,11.7,17.5,86.5,76.1,0.04
6/3/20,74,79.8,6,5.2,17.5,25.1,91.4,74.7,0.77
6/4/20,75.1,86.4,6.3,7.4,13.6,35.9,93.2,74.7,0.3
6/5/20,73.3,80.6,6.5,6.2,13.6,33.6,95,74.7,1.78
6/6/20,74.4,78.5,4.2,4.6,15.5,27,89.8,73.4,1.22
6/7/20,75.4,79.3,4.1,5.1,9.7,20.4,82.4,73.4,0.85
6/8/20,75,79,5,4.6,11.7,28.9,82.4,75,1.28
6/9/20,74.1,78.1,4.8,4.6,13.6,25.3,86,73.4,0.75
6/10/20,75.2,82.6,5.7,3.3,11.7,24.5,91.6,73.9,0.32
6/11/20,74.4,86.6,6.6,5.6,9.3,14.2,95,76.8,0
6/12/20,73.1,87.7,6.7,4.4,7.8,13,94.3,76.3,0
6/13/20,74.7,86.4,6.7,6.7,11.7,18.1,94.3,76.1,0.11
6/14/20,74,80.9,5.9,5.6,11.7,22.3,90.7,77,0.28
6/15/20,75,83.2,6.1,5.8,19.4,33,91.4,74.8,1.21
6/16/20,73.4,83.7,6.6,6.4,13.6,30.1,91.4,74.8,0.71
6/17/20,74.4,80.4,6.2,4.8,13.6,25.3,91.4,75.2,0.45
6/18/20,74.9,85.2,6.6,5.6,14.4,28.4,93.2,75.7,0.01
6/19/20,74.4,86.7,6.7,4.1,13.6,16.9,93.2,79,0
6/20/20,72.8,87.7,6.7,5.8,9.7,17.7,95,78.3,0
6/21/20,73.7,88.7,6.7,7.5,13.6,15.3,95,78.8,0.01
6/22/20,74.9,89.3,6.7,7.7,11.7,17.7,96.8,81.5,0.01
6/23/20,73.8,89.7,6.7,7.2,13.6,17.7,96.8,82.6,0
6/24/20,74.5,89.5,6.7,9,12.8,19.6,95,82.9,0
6/25/20,74.3,82.8,6.6,7.1,19.4,29.1,93.4,75.2,0.69
6/26/20,74.1,88.6,6.7,8.1,13.6,20.4,95,75.7,0.11
6/27/20,73.4,88.2,6.7,6.7,13.8,21.4,95,81.7,0
6/28/20,73,88.5,6.7,6.9,11.7,17.5,95,80.4,0
6/29/20,74.3,88.5,6.5,4.9,12.4,17.5,96.8,79.2,0
6/30/20,73.6,89.6,6.7,4.9,7.8,17.5,96.8,79.2,0
7/1/20,75.5,85.5,6.5,5.1,11.7,16.9,95.5,79.5,0
7/2/20,76.3,84.1,6.5,5.4,11.7,27,92.1,79,0.17
7/3/20,75.3,81.7,6.4,4.5,13.6,24.9,89.6,77,0.73
7/4/20,76,81.8,6.2,3.5,6.4,20.4,88.5,77.7,0.71
7/5/20,75.6,85.5,6.3,5.6,13.6,19.6,93.2,77.5,0.33
7/6/20,74,87.4,6.6,6.2,11.7,16.7,95,77.7,0.07
7/7/20,73.5,88.2,6.4,8,11.7,23.3,93.4,79.7,0
7/8/20,74.7,87.9,6.7,8.2,11.7,17.1,93.4,82,0
7/9/20,73.7,88.9,6.7,9.6,15.5,22.5,93.2,83.1,0
7/10/20,74.5,87.6,6.7,7.7,11.7,21.4,93.2,83.5,0
7/11/20,74.2,88.4,6.7,9.5,13.6,22.9,96.8,82.4,0
7/12/20,73.2,89.4,6.7,7,11.7,18.8,96.8,79.3,0
7/13/20,72.4,90.4,6.7,4,5.8,18.8,99.3,78.6,0
7/14/20,72.5,92.3,6.5,4.7,9.7,21.4,100.4,78.8,0
7/15/20,71.5,91.3,6.7,7.6,11.7,16.9,100.4,82.6,0
7/16/20,71.8,90.5,6.7,8.1,11.7,20.6,98.6,82.4,0
7/17/20,71.8,90.3,6.7,9.6,13.6,25.3,98.6,82.9,0
7/18/20,72.8,89.9,6.7,8.8,11.7,22.9,98.6,82.4,0
7/19/20,72.9,89.3,6.7,7.2,15.5,19,98.6,82,0
7/20/20,72.9,89,6.7,6.6,9.7,19,96.8,81.9,0
7/21/20,71.6,88.6,6.7,4.4,23.3,999.9,96.8,77.4,0
7/22/20,73.3,87.5,6.5,4.6,9.7,13.4,95.9,77.4,0.03
7/23/20,73.2,90.2,6.7,4,9.7,17.5,98.6,78.6,0
7/24/20,72.4,91.8,6.7,4.2,7.8,13.2,99.9,78.1,0
7/25/20,73.4,92.2,6.7,5.9,9.7,13.2,100.4,80.2,0
7/26/20,73.5,90.5,6.7,6.5,10.1,14.4,98.8,81.9,0
7/27/20,72.8,90.2,7.2,6.4,11.7,17.9,98.6,82.9,0
7/28/20,72.8,90.7,6.7,6,11.7,21.4,100.4,78.4,0.17
7/29/20,71.4,88.9,6.7,4.6,19.4,29.1,100.4,77.5,0.26
7/30/20,71.1,88.2,7.2,5.9,13.6,19,100.2,77.2,0
7/31/20,72.1,85,6.7,8.5,15.5,25.3,95.4,78.1,0.18
8/1/20,73.2,82.3,6.6,9.3,15.5,29.1,91.4,76.6,0.6
8/2/20,74,82.6,6.6,6.7,11.7,21.4,89.6,76.6,0.14
8/3/20,74.6,82.9,6.6,5,9.7,13.4,91.4,77.2,0.19
8/4/20,75.2,82.5,5.9,5,15.5,999.9,92.5,77.2,0.22
8/5/20,74.5,78.9,5.4,5.4,8.4,20.8,92.5,76.1,1.4
8/6/20,74.9,85.8,6.3,4.4,11.7,16.3,93.2,75.7,0.22
8/7/20,73.7,86.9,6.7,4.5,7.8,13.6,94.6,77.4,0
8/8/20,72.5,88.8,6.7,4.1,7.8,12.2,96.3,77,0
8/9/20,72.6,89.4,6.7,4.7,9.7,16.7,98.6,78.1,0
8/10/20,73.2,89.7,6.7,5.6,10.5,16.7,98.2,80.8,0
8/11/20,74.9,86.6,6.3,6.6,11.7,20,96.3,75.2,1.65
8/12/20,74.5,81.2,6.2,6,15.5,22,92.1,75.2,0.56
8/13/20,74.5,82.4,6.5,5.7,13.6,22.9,90.3,75.9,0.07
8/14/20,74.7,83.7,6.3,3.4,13.6,27,91.4,77.9,0.06
8/15/20,74.5,82.3,6.2,3.6,8.4,16.7,91.2,77.4,0.05
8/16/20,72,84.9,6.7,5.4,13.6,22.3,93.2,75.6,0.01
8/17/20,73.4,83.2,6.4,3.1,11.5,21.6,93.2,75.6,0.02
8/18/20,72.5,83.4,6,6.2,9.7,22.3,93.2,75,0.53
8/19/20,73.9,79.5,5.7,6.8,17.5,28.4,91.6,75,0.6
8/20/20,74.7,84,6.5,3.7,9.7,15.3,93.2,76.3,0
8/21/20,74,87.5,5.6,3.2,5.8,999.9,95.5,76.8,0
8/22/20,73.9,85.9,5.5,3,15.5,27.2,95.5,77.7,0
8/23/20,73.9,87.9,5.4,2.7,7.8,999.9,96.3,77.4,0
8/24/20,74.2,89.5,6.2,4.4,10.7,21.8,97.3,78.6,0.4
8/25/20,74.7,89.7,6.3,5.4,10.3,21.8,97.3,78.8,0
8/26/20,74.2,83.8,6.1,4.2,13.6,21,96.8,75.2,2.15
8/27/20,73.4,85.3,6.4,3.8,7.8,999.9,94.6,75,0
8/28/20,71.3,88.1,5.8,3.4,7.8,12,97.2,76.6,0
8/29/20,72.8,88.2,5.2,3.2,9.7,11.7,97.2,76.5,0
8/30/20,71.8,88.8,5.3,4.5,9.7,15.5,96.8,77,0.02
8/31/20,74.4,86.3,5.4,3.9,11.7,16.9,96.4,78.3,0.02
9/1/20,74.1,86.2,5.9,3.3,15.5,25.3,97,77.7,0
9/2/20,72.4,88.7,5.4,3.7,7.8,15.2,97,77.4,0
9/3/20,73.3,89.4,5.3,3.3,6.8,14.4,98.2,76.8,0
9/4/20,74.7,81.9,3.9,5.5,13.6,23.3,98.2,75.2,0.82
9/5/20,74,81.2,4.7,3.4,15.5,999.9,91.2,75.4,0.02
9/6/20,74.3,86.2,4.5,4,6.4,12.6,93.4,75.2,0.01
9/7/20,74.9,81.7,5,4.2,9.7,21.8,93.4,77.2,3.14
9/8/20,74.6,79.8,5.6,3.2,9.7,11.5,91,77,0.17
9/9/20,73.7,80.6,4.9,3.2,11.7,11.8,89.6,76.5,0.36
9/10/20,73.6,84.3,5.2,4.4,11.7,17.5,93.2,76.3,0.01
9/11/20,73.9,83.5,5.4,5.8,15.5,18.8,93.2,74.5,1.78
9/12/20,74.6,80.7,6.4,3.4,7.8,16.3,91.8,74.3,1.44
9/13/20,74.3,81.3,5.5,4.1,11.7,16.7,91.8,74.1,0.96
9/14/20,74.6,81.7,5.3,3.9,9.7,14.4,90.7,76.1,0.68
9/15/20,74.3,78.7,5.5,3.8,9.7,10.1,90.7,75.2,1.24
9/16/20,75.6,82,6.4,4.2,11.7,13,91.4,75.2,0.1
9/17/20,74.9,85.4,6.5,4.5,9.7,18.8,93.7,75.9,0.01
9/18/20,73,79.4,5.5,6.7,11.7,17.1,93.7,75.2,1.09
9/19/20,74.3,80.1,6.5,4.8,13.6,29.9,89.6,75.2,0.61
9/20/20,75,83.6,5.4,3.4,7.8,13.6,92.1,75.7,0.02
9/21/20,75.7,81.3,5.6,3.8,9.7,19.4,92.1,77,0.02
9/22/20,75.6,82.8,5.7,3,9.7,14.2,91,77,0.24
9/23/20,71.8,80.7,5.5,4.7,11.7,12.4,90.1,73.8,0.19
9/24/20,66.8,77.8,6.7,6.1,11.7,16.7,90.1,72.9,0.01
9/25/20,69.2,80.1,6.6,3.5,7.8,12,86.5,72.5,0
9/26/20,70.7,77,5.4,4.8,7.8,12,86.5,71.6,0.68
9/27/20,67.1,74.4,6.5,3.7,10.5,15.9,84.7,71.6,0.01
9/28/20,71,78.6,6.7,3,5.8,12.2,83.1,71.6,0
9/29/20,73.6,82.5,5.4,2.5,5.8,999.9,87.8,73.9,0.02
9/30/20,71.2,78.2,5.4,4.7,13.6,23.3,87.8,73.4,0.02
10/1/20,71.3,78.5,5.7,3,7.8,12,86.7,72.9,0.06
10/2/20,70.6,83,5.7,3.6,7.8,13.8,91.4,72.3,0.01
10/3/20,71.6,84.2,6,2.3,5.8,13.8,92.1,72.3,0
10/4/20,71.6,84.7,5.5,5.3,11.7,16.5,93.2,74.5,0
10/5/20,65.2,79,6.7,9,11.7,17.5,92.1,71.1,0
10/6/20,60.8,74.9,6.7,8.9,11.7,14.4,84.7,67.8,0
10/7/20,58.7,73.4,6.7,11.4,15.5,23.1,80.1,67.6,0
10/8/20,58,73.1,6.7,10.9,15.5,23.1,78.8,68.2,0
10/9/20,57.6,73.3,6.7,8.4,13.6,20.4,80.6,67.6,0
10/10/20,60,77.2,6.6,4.9,9.7,16.5,86,66.6,0
10/11/20,61.8,80.4,6.6,4.7,11.7,15.5,88.3,66,0
10/12/20,59.2,82.5,6.7,10.5,13.6,15.2,89.6,69.3,0
10/13/20,67.2,77.8,6.6,7.3,13.6,22.3,89.1,72.3,0.08
10/14/20,68.4,78.9,6.7,4.4,7.8,16.9,83.3,72.3,0
10/15/20,65.8,80.2,6.7,6.4,11.7,14.6,87.8,73.6,0
10/16/20,62.3,78.2,6.2,11.8,17.5,23.3,87.8,68.7,0
10/17/20,56.9,72.9,6.7,12.1,15.5,21.6,86.7,65.3,0
10/18/20,57.1,73.1,6.7,11.1,15.5,20.8,80.6,64.9,0
10/19/20,56,72.4,6.7,10.4,15.5,20.8,80.6,63.7,0
10/20/20,57.3,72.5,6.7,9.7,15.5,25.3,80.6,63.3,0
10/21/20,55,72.4,6.7,12,17.5,28.6,79.5,65.5,0
10/22/20,49.4,74,6.7,13.8,23.3,28.4,80.6,66.4,0
10/23/20,40.8,74.7,6.7,12.5,17.5,27.2,82.4,65.7,0
10/24/20,47.1,73.5,6.7,5.8,13.6,19.8,79.2,66,0
10/25/20,55,75.2,6.7,3.3,6.2,11.8,82.4,63.5,0
10/26/20,56.4,79.7,6.2,4.4,9.7,17.5,89.6,63.1,0
10/27/20,59.3,80.1,6.5,4.2,9.7,18.3,89.6,64.6,0
10/28/20,62.5,77.7,6.4,5.7,11.7,20.4,87.6,66.7,0.08
10/29/20,64.8,70.4,4,6.5,11.7,15.7,82,67.6,0.25
10/30/20,62.5,73.5,4.6,3.3,9.7,16.7,78.8,66.6,0
10/31/20,62.8,75,5,2.4,5.8,16.7,82.4,66.6,0
11/1/20,62.1,77.5,4.9,3.7,9.7,11.3,86,66.6,0
11/2/20,57.1,74.1,6.4,10.5,15.5,23.3,84,65.5,0
11/3/20,53.8,73.6,6.7,8.7,13.6,17.7,81.3,64.9,0
11/4/20,55,72.5,5.6,3.9,7.8,12.4,79.3,62.4,0
11/5/20,58.6,73.5,5.6,3.4,7.8,14.8,82.4,61.5,0
11/6/20,56.7,78.1,5.9,7.5,13.6,19,86,62.1,0
11/7/20,55.1,78.5,6.6,11.5,15.5,23.7,86,65.7,0
11/8/20,41.2,76.4,6.7,11.6,15.5,23.7,85.3,67.8,0
11/9/20,38.4,72.8,6.7,10.4,15.5,22.7,84,63.5,0
11/10/20,42,70.7,6.7,6.6,11.7,15.7,81,58.1,0
11/11/20,45,71.2,6.7,5.5,11.7,16.5,80.6,55.2,0
11/12/20,44.9,72.7,6.7,8.5,15.5,16.3,82.4,55.2,0
11/13/20,48.3,75.6,6.6,9.5,15.5,17.3,82.4,58.6,0
11/14/20,58.9,67.8,6.2,7.1,15.5,999.9,79.2,64.2,0.01
11/15/20,64.5,70.5,5.2,3.3,5.8,10.7,75.2,64,0.08
11/16/20,67,77.3,4.7,2.6,5.8,999.9,87.8,64.6,0
11/17/20,67.9,76.7,5.3,2.9,7.8,11.3,85.5,67.3,0
11/18/20,70.4,79.3,6.3,3.6,7.8,10.9,86,68.7,0.04
11/19/20,71.2,79.2,5.6,3.2,5.8,999.9,87.8,70.7,0.01
11/20/20,71.3,80.3,5,3.4,5.8,999.9,89.6,70.5,0
11/21/20,70.9,79.3,6.6,5.2,9.7,12.6,87.3,71.8,0.04
11/22/20,65.5,76.4,6.2,7.3,11.7,19,87.8,66.2,0
11/23/20,57.1,67.7,6.7,7.8,11.7,19,87.3,63.9,0
11/24/20,57.3,70,6.7,5.7,11.7,15.3,78.8,63,0
11/25/20,61.8,73.4,6.7,3.6,5.8,10.7,84.2,63,0
